ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9A,AW9B,AW9C,AW19,AW20,AW21
706,838,1,2,1,1,,4,2,1,1,0,1,1,41,4,7,,,2,,2,3,0,1,1,2,0.74,1.422,26,1,4,5,2,,2,,2,2,1,1,2,3,2,2
707,838,2,3,1,3,4,4,2,1,1,0,1,1,26,2,1,,,2,,1,3,0,2,1,2,0.827,1.587,26,1,3,5,2,,1,,8,7,2,2,2,3,7,8
708,838,1,3,1,1,,1,,0,1,,,,44,4,4,,,2,,1,2,0,2,1,3,0.564,1.083,37,1,2,4,2,,1,,2,7,2,1,3,2,,2
709,838,1,5,1,1,,1,,0,1,,,,56,2,5,,,2,,1,3,0,2,1,1,0.687,1.398,36,2,,,,,,,,,,,,3,2,2
710,838,1,4,1,3,1,1,,0,1,,,,70,5,5,,,2,,1,2,0,2,1,3,0.554,1.066,24,1,3,5,8,,,0,3,1,3,2,2,2,,4
711,838,1,2,1,3,3,3,3,2,1,,,,45,2,1,,,2,,1,3,0,2,2,3,0.606,1.153,47,1,2,5,1,1,,,1,1,3,3,1,3,2,4
712,838,1,2,1,3,1,2,2,1,1,,,,69,4,7,,,2,,1,3,0,1,1,2,0.623,1.197,26,1,4,5,1,1,,,1,1,2,3,1,3,2,4
713,838,2,2,2,3,5,2,2,1,1,,,,25,2,2,,,2,,1,3,0,1,2,3,0.72,1.612,13,2,,,,,,,,,,,,3,7,2
714,838,1,2,1,1,,4,2,1,1,0,1,1,35,2,7,,,2,,1,3,0,1,1,1,0.687,1.397,36,1,4,5,2,,2,,2,7,2,1,2,3,1,3
715,838,2,2,1,1,,3,2,1,1,0,0,1,29,2,4,,,2,,1,2,0,1,2,1,0.544,1.173,25,2,,,,,,,,,,,,2,,2
716,838,1,2,2,1,,3,2,1,1,0,0,1,27,3,5,,,2,,1,2,0,2,2,3,0.687,1.539,37,2,,,,,,,,,,,,2,,2
717,838,1,2,1,1,,3,3,2,1,,,,53,5,8,,,2,,1,1,1,2,1,1,0.262,0.532,42,1,3,5,1,1,,,1,1,2,2,1,1,,4
718,838,2,2,1,3,2,3,2,1,1,0,0,1,30,3,5,,,2,,1,8,0,2,1,3,0.947,1.819,51,2,,,,,,,,,,,,8,7,3
719,838,2,2,1,3,4,2,2,1,1,,,,53,2,7,,,2,,1,1,0,1,1,1,0.711,1.448,36,1,4,5,2,,1,,2,1,1,1,2,1,,3
720,838,1,5,1,3,1,1,,0,1,,,,80,2,3,,,2,,1,1,0,2,1,3,1.247,2.394,13,1,3,1,1,1,,,1,1,3,2,1,1,,5
721,838,1,2,1,2,,3,2,1,1,0,1,0,39,2,8,,,1,1,,1,0,2,1,3,0.682,1.309,12,1,4,5,1,1,,,1,1,2,3,2,1,,4
722,838,1,2,1,3,4,4,2,1,1,1,1,0,37,2,6,,,2,,1,3,0,1,1,1,1.396,2.257,44,1,3,5,8,,,1,1,1,2,3,2,3,1,4
723,838,1,2,1,3,3,3,2,1,1,0,0,1,34,5,6,,,2,,5,2,0,1,1,2,0.717,1.376,39,2,,,,,,,,,,,,2,,2
724,838,2,1,2,1,,3,3,1,2,,,,25,2,6,,,2,,1,1,0,2,1,1,0.9,3.668,36,1,4,5,1,1,,,1,1,3,1,2,1,,3
725,838,1,2,1,1,,2,2,1,1,,,,38,4,7,,,2,,1,2,0,2,1,3,0.526,1.074,47,1,4,5,2,,1,,2,1,2,1,3,2,,1
726,838,1,2,2,1,,5,2,1,1,0,2,1,38,2,8,,,2,,1,1,0,2,2,2,0.389,0.88,26,1,3,5,1,1,,,1,1,2,1,2,1,,4
727,838,1,2,1,3,5,3,2,1,1,0,1,0,35,2,4,,,2,,1,3,0,2,2,3,0.495,1.107,13,2,,,,,,,,,,,,3,7,2
728,838,1,2,1,3,1,3,3,2,1,,,,55,4,8,,,2,,1,1,0,2,2,3,0.434,0.972,37,1,3,5,1,2,,,1,1,3,3,2,1,,4
729,838,1,2,1,1,,2,2,1,1,,,,27,4,9,,2,2,,1,1,0,2,1,1,0.745,1.518,42,1,3,4,1,1,,,1,1,2,2,1,1,,3
730,838,2,1,1,1,,2,2,1,1,,,,26,4,5,,,2,,1,3,0,2,1,2,1.288,2.313,20,1,3,5,2,,2,,3,1,2,1,3,3,1,3
731,838,1,2,1,1,,3,2,1,1,0,1,0,36,5,99,9,,2,,1,2,0,2,1,1,1.09,1.763,33,1,4,5,2,,1,,2,2,2,1,1,2,,3
732,838,2,2,1,3,2,5,2,1,1,0,1,2,24,3,5,,,2,,2,2,0,2,1,2,1.922,3.689,26,1,3,5,2,,2,,2,7,2,1,3,2,,2
733,838,2,2,1,1,,2,2,1,1,,,,41,3,4,,,2,,1,3,0,1,1,3,0.673,1.374,47,1,4,5,0,,,2,3,2,1,1,3,3,1,3
734,838,2,1,2,1,,2,2,1,1,,,,24,3,5,,,2,,1,8,0,1,1,3,1.474,2.477,5,2,,,,,,,,,,,,8,7,8
735,838,1,2,1,1,,4,2,1,1,1,1,0,36,2,8,,,2,,1,3,0,2,1,2,0.595,1.141,26,1,3,5,2,,2,,3,2,1,1,2,3,1,3
736,838,1,2,1,1,,3,2,1,1,0,0,1,53,3,8,,,2,,1,3,2,2,1,3,0.321,0.617,13,1,4,5,2,,2,,2,1,1,1,3,3,7,3
737,838,1,1,1,2,,2,2,1,1,,,,19,3,6,,,2,,1,1,0,1,1,1,0.647,1.317,36,1,3,4,1,1,,,1,1,2,2,3,1,,2
738,838,2,5,1,1,,1,,0,1,,,,42,5,7,,,2,,1,3,0,2,1,2,0.493,0.945,17,1,3,5,2,,1,,2,2,3,1,2,3,1,3
739,838,2,1,2,2,,3,3,3,0,,,,24,4,5,,,2,,1,2,0,1,1,2,1.118,2.008,29,2,,,,,,,,,,,,2,,2
740,838,2,5,1,1,,1,,1,0,,,,39,2,4,,,2,,1,1,0,1,2,3,0.524,0.587,45,1,4,5,1,1,,,1,1,2,2,2,1,,4
741,838,1,2,1,2,,3,3,2,1,,,,58,6,8,,,2,,1,2,0,1,1,3,0.841,3.229,13,1,4,5,2,,1,,2,2,1,2,1,2,,3
742,838,1,2,1,1,,2,2,1,1,,,,49,5,6,,,2,,1,2,0,2,1,3,0.532,1.022,12,1,3,5,2,,2,,2,1,3,2,3,2,,3
743,838,2,2,1,3,5,4,2,1,1,0,1,1,30,2,98,8,,2,,1,8,0,2,2,2,0.54,1.222,39,1,1,4,1,2,,,8,7,1,2,4,8,7,8
744,838,1,1,1,1,,2,2,0,2,,,,28,1,7,,,2,,1,9,0,2,1,2,2.176,4.177,26,2,,,,,,,,,,,,9,7,2
745,838,1,2,1,3,2,2,2,1,1,,,,48,4,99,1,,2,,1,1,0,2,2,3,0.502,0.954,28,1,3,5,1,1,,,1,1,2,2,1,1,,5
746,838,1,2,1,3,2,2,2,1,1,,,,67,2,4,,,2,,1,1,0,2,1,2,0.585,1.123,17,1,3,5,8,,,1,8,1,3,2,3,1,,3
747,838,2,5,1,1,,1,,1,0,,,,50,2,4,,,2,,1,2,0,1,2,3,0.705,0.67,21,2,,,,,,,,,,,,2,,2
748,838,1,2,1,1,,2,2,1,1,,,,28,5,99,1,,2,,1,2,0,2,1,2,1.288,2.313,46,1,4,5,9,,,9,9,9,2,1,2,2,,3
749,838,1,2,1,1,,4,2,1,1,0,0,2,24,2,2,,,1,1,,3,0,1,2,2,0.388,0.879,26,1,3,5,0,,,1,3,7,4,1,2,3,7,4
750,838,1,2,1,1,,3,2,1,1,0,0,1,39,4,8,,,2,,1,2,0,2,2,2,0.321,0.728,39,1,4,5,2,,1,,2,2,1,1,2,2,,3
751,838,1,2,1,2,,3,2,1,1,0,1,0,41,5,7,,,2,,1,2,0,2,1,2,0.493,0.945,39,1,4,5,2,,1,,2,2,1,1,3,2,,2
752,838,1,2,1,1,,3,2,1,1,1,0,0,40,2,8,,,2,,1,1,0,2,1,3,0.682,1.309,13,1,4,5,1,1,,,1,1,3,3,1,1,,5
