ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,WP1,WP2,WP3,WP4A,WP4B,WP4C,WP5,WP6
83,928,1,2,1,1,,3,3,2,1,,,,51,1,3,,,2,,1,1,0,2,1,3,1.91,3.607,24,1,1,1,2,,,,
84,928,1,2,1,3,1,2,2,1,1,,,,66,3,8,,,2,,1,1,0,2,1,1,0.993,1.605,9,4,5,1,1,,,,
85,928,1,5,1,1,,3,2,1,1,1,0,0,37,4,8,,,2,,1,2,0,1,2,4,0.658,1.138,35,3,3,2,,2,,,
86,928,1,2,1,3,1,2,2,1,1,,,,78,2,3,,,2,,1,2,0,1,2,3,1.065,2.058,48,4,5,2,,1,,,
87,928,2,2,1,1,,4,2,1,1,2,0,0,44,4,8,,,2,,1,2,1,1,1,4,0.439,0.829,6,3,5,2,,1,,,
88,928,2,2,1,1,,2,2,1,1,,,,23,4,7,,,2,,1,2,0,2,1,2,1.054,1.951,39,3,5,2,,1,,,
89,928,1,2,1,3,2,4,3,2,1,0,1,0,60,2,98,8,,2,,1,1,0,2,1,3,0.944,1.782,45,4,5,1,1,,,,
90,928,1,2,1,1,,2,2,1,1,,,,30,2,3,,,2,,1,1,0,1,1,3,0.602,1.135,12,2,3,8,,,,,1
91,928,1,2,1,2,,2,2,1,1,,,,66,2,6,,,2,,1,3,0,1,2,1,0.427,0.789,25,4,5,1,1,,,,
92,928,2,2,1,1,,2,2,1,1,,,,40,2,3,,,2,,1,3,0,1,1,2,0.721,1.336,39,1,3,1,2,,,,
94,928,1,2,1,1,,2,2,1,1,,,,52,2,7,,,2,,1,3,0,1,1,1,0.717,1.159,33,3,4,3,,,1,2,
95,928,1,2,1,1,,4,2,1,1,0,2,0,46,5,9,,2,9,,9,2,0,1,1,3,0.774,1.461,24,4,5,2,,1,,,
96,928,2,1,1,3,3,3,1,0,1,0,0,2,24,2,1,,,2,,2,2,0,2,1,2,2.779,2.575,26,4,5,2,,8,,,
97,928,1,1,2,3,3,3,2,0,2,1,0,0,19,3,2,,,2,,1,3,0,2,1,2,1.054,1.951,26,3,5,2,,2,,,
