ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8,AW9,AW10A,AW10B
118,833,1,2,1,1,,2,2,1,1,,,,39,4,6,,,2,,1,2,0,2,1,2,0.508,0.951,17,1,4,5,8,,,2,2,1,1,2,,1
119,833,1,4,1,3,1,1,,0,1,,,,55,2,5,,,2,,1,1,0,2,1,3,0.831,1.44,1,1,3,5,2,,2,,2,1,2,2,,2
120,833,1,2,1,1,,5,5,3,2,,,,54,2,8,,,2,,1,1,0,1,1,3,1.469,4.842,40,1,4,5,1,1,,,1,1,1,3,,
121,833,2,2,1,1,,3,2,1,1,0,0,1,26,2,3,,,2,,1,3,0,1,1,3,1.377,2.386,1,2,,,,,,,,,1,3,,
122,833,1,2,1,1,,5,2,1,1,0,1,2,34,2,5,,,2,,1,3,0,1,1,2,0.841,1.572,17,1,4,5,2,,1,,2,2,1,3,,
123,833,1,4,1,3,1,2,2,0,2,,,,65,5,5,,,2,,2,2,0,2,2,3,0.771,1.583,22,1,4,5,2,,1,,2,2,9,3,,
124,833,2,1,2,1,,4,3,2,1,0,1,0,20,2,8,,,2,,2,3,1,1,1,3,0.952,3.136,48,2,,,,,,,,,8,3,,
125,833,1,2,1,1,,4,2,1,1,0,2,0,49,4,8,,,2,,1,3,0,1,2,2,0.708,1.251,27,1,3,5,2,,2,,2,1,1,3,,
126,833,1,2,1,3,1,2,2,1,1,,,,70,2,5,,,2,,1,3,0,1,2,4,0.51,1.063,8,1,2,5,2,,2,,2,1,8,8,,
127,833,2,2,1,1,,6,2,1,1,2,1,1,26,2,4,,,2,,1,1,0,1,1,2,2.25,3.403,38,1,3,5,1,1,,,3,1,2,3,,
128,833,1,2,1,3,1,2,2,1,1,,,,56,1,4,,,2,,1,3,0,1,2,2,2.669,5.689,55,1,2,5,7,,,1,1,1,1,3,,
129,833,2,5,1,2,,3,1,0,1,1,1,0,36,2,3,,,1,1,,3,0,2,2,3,1.176,1.206,48,1,1,1,1,8,,,1,1,1,3,,
130,833,1,5,1,3,1,2,2,1,1,,,,53,3,5,,,2,,1,2,0,1,2,2,0.93,1.641,29,1,3,5,2,,1,,3,1,1,3,,
131,833,1,2,1,1,,2,2,1,1,,,,27,3,8,,,2,,1,3,0,2,1,2,2.417,3.654,29,2,,,,,,,,,1,1,2,
132,833,1,2,1,1,,6,2,1,1,0,4,0,40,3,8,,,2,,1,2,0,1,1,3,1.401,2.308,48,1,4,5,2,,2,,3,1,2,3,,
134,833,1,2,1,1,,5,4,2,2,0,0,1,32,4,5,,,2,,1,2,0,1,1,3,1.482,4.88,48,1,3,5,2,,1,,2,0,2,3,,
135,833,1,1,1,1,,3,1,0,1,2,0,0,35,2,2,,,2,,2,2,0,2,2,3,0.873,1.031,1,1,4,5,2,,1,,2,2,8,3,,
136,833,1,2,1,3,1,2,2,1,1,,,,70,4,4,,,2,,1,1,0,2,2,2,0.371,0.655,31,1,4,5,1,1,,,1,1,1,8,,
137,833,1,2,1,1,,5,2,1,1,0,3,0,29,3,3,,,2,,1,2,0,2,2,2,0.738,1.573,17,2,,,,,,,,,1,2,,2
138,833,2,2,1,1,,4,2,1,1,0,0,2,27,3,6,,,2,,1,3,0,2,1,2,0.903,1.688,55,2,,,,,,,,,2,2,,2
139,833,1,2,1,1,,3,1,1,0,1,0,1,42,1,1,,,8,,1,1,0,1,2,3,4.001,4.106,22,2,,,,,,,,,2,8,,
140,833,1,2,1,1,,4,2,1,1,0,0,2,31,3,7,,,2,,1,3,0,1,2,4,1.262,2.326,53,2,,,,,,,,,2,3,,
141,833,1,2,1,1,,3,2,1,1,0,0,1,28,4,7,,,2,,1,1,0,1,1,4,1.01,1.939,53,1,3,4,1,2,,,3,7,1,3,,
142,833,2,2,1,1,,4,3,2,1,1,0,0,45,2,8,,,2,,1,3,0,2,1,4,1.172,2.25,6,2,,,,,,,,,1,3,,
143,833,2,1,1,1,,2,2,2,0,,,,25,2,7,,,2,,1,1,0,1,1,4,1.326,2.546,41,1,3,5,1,9,,,1,7,1,1,2,
144,833,1,2,1,2,,2,2,1,1,,,,65,4,7,,,2,,1,1,0,1,1,4,0.585,1.123,41,1,4,5,2,,2,,2,1,2,3,,
145,833,1,2,1,1,,6,2,1,1,0,1,3,30,2,8,,,2,,1,1,0,1,1,4,1.326,2.546,6,1,4,5,0,,,8,3,1,2,3,,
146,833,1,5,1,1,,6,3,1,2,0,0,3,50,3,5,,,2,,1,1,2,2,2,4,0.558,2.057,6,1,3,5,1,1,,,1,1,2,1,2,
147,833,1,5,1,1,,1,,1,0,,,,52,6,6,,,2,,1,3,0,1,2,4,0.72,0.75,8,2,,,,,,,,,1,8,,
148,833,2,2,1,1,,5,2,1,1,0,1,2,34,2,6,,,2,,1,3,0,1,1,4,1.326,2.546,53,1,3,5,1,2,,,1,1,1,1,2,
