ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9,AW10,AW11,AW12A,AW12B,AW12C,AW12D,AW13,AW14,AW15,AW16A,AW16B,AW17,AW18,AW19,AW20,AW21
26,837,1,2,1,3,5,2,2,1,1,,,,61,4,8,,,2,,1,1,0,1,2,2,0.425,0.809,18,1,3,5,1,2,,,1,1,2,1,2,2,3,1,3,2,1,7,,,3,2,1,,4
27,837,1,1,1,1,,2,2,1,1,,,,28,4,7,,,2,,1,3,0,1,2,2,0.522,0.994,26,1,4,5,0,,,1,1,2,1,1,1,1,2,1,1,3,2,7,,,3,3,3,2,3
28,837,1,2,1,1,,4,2,1,1,0,1,1,34,2,9,,2,2,,1,3,0,1,1,3,1.118,2.116,24,2,,,,,,,,,,,,,,,,,,,,,,,3,7,2
29,837,1,2,1,1,,2,2,1,1,,,,35,6,5,,,2,,1,3,0,1,1,3,1.04,1.969,37,1,3,5,8,,,2,2,1,3,2,,1,3,3,3,3,3,8,,,3,3,3,1,3
30,837,2,2,1,1,,4,2,1,1,0,2,0,32,2,7,,,2,,1,2,0,2,1,1,0.894,1.631,9,2,,,,,,,,,,,,,,,,,,,,,,,2,,3
31,837,1,5,1,3,4,1,,0,1,,,,42,2,6,,,2,,1,2,0,2,1,2,0.733,1.525,18,1,2,4,8,,,2,2,2,1,2,,1,2,1,1,3,2,7,,,3,3,2,,3
32,837,1,2,1,3,2,2,2,1,1,,,,62,3,8,,,2,,1,3,0,2,1,1,0.598,1.092,9,1,4,5,2,,2,,2,2,4,2,,1,3,3,3,2,2,7,,,7,3,3,1,2
33,837,1,2,1,3,1,2,2,1,1,,,,75,3,1,,,2,,1,2,0,1,1,1,0.968,1.766,50,1,2,3,8,,,8,8,8,2,1,8,1,1,1,1,2,2,8,,,3,1,2,,1
34,837,2,1,2,3,3,3,3,0,3,,,,22,3,1,,,2,,2,2,0,2,2,3,1.175,2.337,24,2,,,,,,,,,,,,,,,,,,,,,,,2,,2
35,837,1,2,1,1,,3,2,1,1,1,0,0,45,2,6,,,2,,1,3,0,2,2,2,0.649,1.235,18,1,4,5,2,,1,,2,8,3,2,,1,3,1,2,2,2,8,,,3,3,3,1,3
36,837,1,4,1,3,1,1,,0,1,,,,59,1,1,,,2,,1,1,0,2,1,2,1.173,2.437,39,2,,,,,,,,,,,,,,,,,,,,,,,1,,8
37,837,1,2,1,1,,2,2,1,1,,,,49,4,9,,2,2,,1,2,0,2,1,3,0.715,1.353,12,1,3,5,2,,2,,2,1,4,2,,1,3,3,3,2,2,7,,,3,3,2,,3
38,837,2,1,1,1,,1,,1,0,,,,26,3,2,,,1,1,,1,0,1,1,3,1.118,1.057,12,2,,,,,,,,,,,,,,,,,,,,,,,1,,2
39,837,1,2,1,3,2,5,3,1,2,2,0,0,40,3,7,,,2,,1,3,0,2,1,2,0.733,3.049,39,1,3,5,2,,2,,2,1,3,1,2,1,2,8,3,3,2,7,,,3,3,3,1,3
40,837,2,2,1,3,2,2,1,0,1,1,0,0,55,1,1,,,2,,1,3,0,2,2,2,1.109,1.054,18,2,,,,,,,,,,,,,,,,,,,,,,,3,1,3
41,837,1,1,2,1,,3,3,3,0,,,,22,3,9,,2,2,,5,1,0,1,1,3,0.886,1.676,24,1,3,5,2,,2,,2,1,3,1,2,1,2,2,1,1,2,1,,2,2,2,1,,4
42,837,1,2,1,1,,5,4,2,2,0,0,1,45,2,2,,,2,,1,3,0,2,2,2,0.649,2.47,26,1,4,5,2,,1,,2,1,4,2,,1,3,3,3,2,2,8,,,3,3,3,7,2
43,837,1,2,1,1,,4,3,2,1,1,0,0,37,2,5,,,2,,1,1,1,1,2,3,0.305,1.212,37,1,4,5,1,1,,,1,1,3,1,2,1,2,1,3,1,2,2,2,,3,3,1,,4
44,837,2,1,2,1,,4,4,0,4,,,,59,5,8,,,2,,1,3,0,2,1,1,0.429,0.783,50,2,,,,,,,,,,,,,,,,,,,,,,,3,1,2
45,837,1,5,1,2,,2,2,0,2,,,,99,2,2,,,2,,1,3,0,2,1,1,0.927,1.691,50,1,3,3,8,,,8,8,1,3,2,,1,8,8,1,3,2,8,,,8,3,3,8,8
46,837,1,5,1,1,,1,,0,1,,,,44,4,7,,,2,,1,2,0,2,1,1,0.821,1.499,42,2,,,,,,,,,,,,,,,,2,,,,,,,2,,3
47,837,2,2,1,3,2,5,2,1,1,0,1,2,30,3,6,,,2,,1,3,0,2,1,1,0.894,1.631,9,2,,,,,,,,,,,,,,,,,,,,,,,3,1,1
48,837,1,2,1,1,,4,2,1,1,0,2,0,40,2,99,9,,2,,1,1,0,1,2,2,0.678,1.289,26,1,4,5,2,,2,,3,1,1,1,1,1,2,2,1,2,2,1,,2,2,3,1,,2
49,837,1,2,1,1,,4,4,3,1,,,,46,3,8,,,2,,1,3,0,1,1,2,0.518,2.156,26,1,3,5,8,,,8,8,7,3,2,,1,3,3,1,3,2,8,,,3,3,3,7,3
50,837,1,2,2,3,1,3,3,2,1,,,,72,9,6,,,2,,1,1,0,2,1,1,1.19,2.173,34,1,2,5,1,1,,,1,1,2,1,2,3,1,8,3,3,3,2,1,,3,3,1,,7
