ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,WEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8
95,932,2,2,1,3,5,3,2,1,1,0,0,1,31,4,5,,,1,1,,1,0,2,1,4,1.474,2.758,6,1,3,4,1,1,,,3,1,2
96,932,1,2,1,1,,2,2,1,1,,,,38,4,9,,2,2,,1,2,0,1,1,4,0.349,0.723,8,1,4,5,2,,1,,2,2,2
97,932,2,1,1,1,,3,2,1,1,0,1,0,26,2,3,,,2,,5,2,0,2,1,4,0.789,1.634,8,2,,,,,,,,,2
98,932,1,1,1,1,,3,2,1,1,1,0,0,42,4,9,,1,2,,2,2,0,1,1,2,0.868,1.546,29,1,4,5,2,,1,,2,7,2
99,932,1,2,1,1,,5,2,1,1,0,2,1,39,4,6,,,2,,1,3,0,1,1,4,0.349,0.723,8,1,3,3,2,,2,,2,1,2
100,932,2,2,1,1,,5,2,1,1,0,1,2,30,2,3,,,2,,1,8,0,1,2,4,0.509,1.076,16,2,,,,,,,,,2
101,932,1,5,1,3,1,2,2,1,1,,,,37,1,3,,,1,9,,9,0,1,1,4,1.52,3.148,8,1,4,5,9,,,9,9,9,2
102,932,2,1,1,1,,1,,1,0,,,,30,4,6,,,2,,1,3,0,1,1,4,0.492,0.509,8,2,,,,,,,,,2
103,932,8,2,2,2,,7,6,3,3,0,0,1,19,1,1,,,1,1,,3,0,1,1,4,0.466,1.932,4,2,,,,,,,,,2
104,932,1,2,1,1,,4,3,1,2,1,0,0,46,6,6,,,2,,1,1,0,2,1,4,0.527,2.182,8,1,4,5,2,,1,,2,1,3
105,932,2,1,1,1,,2,2,0,2,,,,23,3,5,,,2,,1,3,0,2,1,4,0.81,1.677,4,2,,,,,,,,,2
106,932,1,2,1,1,,2,2,1,1,,,,33,6,6,,,2,,1,3,0,1,1,4,0.519,1.076,4,1,2,4,2,,1,,3,7,3
107,932,2,1,2,1,,3,3,1,2,,,,23,3,6,,,2,,1,1,0,2,1,4,0.81,3.353,4,1,3,4,1,1,,,1,7,2
108,932,2,2,2,1,,5,2,1,1,0,0,3,25,2,6,,,2,,1,1,0,1,1,4,0.519,1.076,4,1,2,5,1,1,,,3,7,1
109,932,1,4,1,3,1,1,,1,0,,,,62,4,9,,1,2,,1,1,0,1,1,4,0.658,0.682,4,1,4,5,2,,1,,2,7,2
110,932,1,1,1,1,,1,,0,1,,,,35,4,7,,,2,,1,3,0,2,1,2,0.785,1.397,29,1,3,5,2,,2,,3,2,2
111,932,1,1,2,2,,5,4,2,2,1,0,0,18,2,8,,,2,,1,3,2,2,1,4,0.405,1.677,4,2,,,,,,,,,2
112,932,2,2,1,1,,2,2,1,1,,,,60,3,6,,,2,,1,3,0,2,1,4,0.773,1.602,4,2,,,,,,,,,2
113,932,1,2,1,1,,2,2,1,1,,,,29,4,6,,,2,,1,1,0,1,1,2,0.611,1.087,27,1,3,5,8,,,8,8,1,3
114,932,2,1,1,1,,3,1,0,1,1,1,0,34,3,6,,,2,,1,2,0,2,1,2,1.341,1.194,27,1,3,5,2,,1,,2,2,2
