ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,WEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8,AW9,AW9A,AW9A2
157,933,2,2,1,1,,4,3,2,1,1,0,0,45,2,4,,,2,,1,2,0,2,1,2,0.474,0.952,17,1,3,5,2,,1,,2,2,2,3,,
158,933,1,4,1,3,1,1,,0,1,,,,83,1,1,,,2,,1,3,0,2,2,2,2.346,5.165,27,1,3,5,8,,,8,8,1,2,3,,
159,933,1,2,1,2,,4,2,1,1,0,1,1,30,2,7,,,1,1,,2,1,2,1,3,1.222,2.076,48,1,2,4,2,,2,,2,2,3,3,,
160,933,1,4,1,3,1,2,1,0,1,1,0,0,71,1,1,,,2,,1,2,0,2,1,3,4.873,4.141,48,1,4,5,2,,1,,2,1,2,3,,
161,933,1,2,1,1,,3,2,1,1,0,1,0,37,4,7,,,2,,1,1,0,2,1,3,1.668,2.834,48,1,3,5,1,1,,,1,1,1,3,,
162,933,1,2,1,1,,4,2,1,1,0,2,0,31,3,7,,,2,,1,1,0,1,1,3,1.735,2.948,48,1,3,5,8,,,1,9,9,3,3,,
163,933,2,2,2,1,,2,2,1,1,,,,59,2,1,,,2,,2,2,0,2,1,3,1.343,2.332,1,1,4,5,2,,1,,2,2,2,3,,
164,933,2,4,1,3,1,1,,0,1,,,,77,2,1,,,2,,1,9,0,2,1,2,0.56,1.124,39,1,9,5,9,,,9,9,9,2,3,,
165,933,1,2,1,1,,3,2,1,1,1,0,0,53,2,9,,2,2,,1,1,0,2,2,3,0.358,0.812,51,1,4,5,1,1,,,1,1,1,1,1,
166,933,1,1,1,1,,2,1,0,1,0,0,1,23,2,2,,,2,,1,2,0,2,1,2,2.974,2.598,20,1,3,5,2,,1,,2,1,2,3,,
167,933,1,2,1,3,4,3,3,1,2,,,,46,4,5,,,2,,1,2,2,1,2,3,0.224,0.508,37,1,3,5,2,,1,,2,2,2,3,,
168,933,1,1,2,3,3,4,2,0,2,0,0,2,25,2,1,,,2,,1,3,0,2,1,3,2.444,4.153,22,1,4,5,2,,2,,3,7,3,2,,1
